xflr5 v6.61

Plane name :, rio5_-0.5incid
Polar name :, T1-15.0 m/s-aft_SM
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -10.000,     0.000,  -0.359491,   0.012675,   0.028490,   0.041165,  -0.000000,  -0.000000,   0.099774,   0.000000,   0.000000,   15.0000,    0.2745
   -9.500,     0.000,  -0.325971,   0.010725,   0.022259,   0.032984,  -0.000000,  -0.000000,   0.097613,   0.000000,   0.000000,   15.0000,    0.2832
   -9.000,     0.000,  -0.292362,   0.008956,   0.019987,   0.028944,  -0.000000,  -0.000000,   0.095264,   0.000000,   0.000000,   15.0000,    0.2939
   -8.500,     0.000,  -0.258672,   0.007369,   0.018585,   0.025955,  -0.000000,  -0.000000,   0.092851,   0.000000,   0.000000,   15.0000,    0.3075
   -8.000,     0.000,  -0.224907,   0.005967,   0.017395,   0.023362,  -0.000000,  -0.000000,   0.090399,   0.000000,   0.000000,   15.0000,    0.3251
   -7.500,     0.000,  -0.191076,   0.004749,   0.016422,   0.021172,  -0.000000,  -0.000000,   0.087910,   0.000000,   0.000000,   15.0000,    0.3492
   -7.000,     0.000,  -0.157186,   0.003719,   0.015623,   0.019342,  -0.000000,  -0.000000,   0.085385,   0.000000,   0.000000,   15.0000,    0.3837
   -6.500,     0.000,  -0.123244,   0.002877,   0.014970,   0.017847,  -0.000000,  -0.000000,   0.082828,   0.000000,   0.000000,   15.0000,    0.4373
   -6.000,     0.000,  -0.089258,   0.002224,   0.014458,   0.016681,  -0.000000,  -0.000000,   0.080239,   0.000000,   0.000000,   15.0000,    0.5318
   -5.500,     0.000,  -0.055235,   0.001760,   0.013984,   0.015745,  -0.000000,  -0.000000,   0.077622,   0.000000,   0.000000,   15.0000,    0.7431
   -5.000,     0.000,  -0.021183,   0.001488,   0.013547,   0.015035,   0.000000,  -0.000000,   0.074978,  -0.000000,  -0.000000,   15.0000,    1.6343
   -4.500,     0.000,   0.012891,   0.001406,   0.013191,   0.014598,   0.000000,  -0.000000,   0.072307,  -0.000000,  -0.000000,   15.0000,   -2.1867
   -4.000,     0.000,   0.046978,   0.001517,   0.012906,   0.014423,   0.000000,   0.000000,   0.069608,  -0.000000,  -0.000000,   15.0000,   -0.4631
   -3.500,     0.000,   0.081072,   0.001820,   0.012666,   0.014486,   0.000000,   0.000000,   0.066885,  -0.000000,  -0.000000,   15.0000,   -0.1890
   -3.000,     0.000,   0.115164,   0.002315,   0.012336,   0.014651,   0.000000,   0.000000,   0.064141,  -0.000000,  -0.000000,   15.0000,   -0.0772
   -2.500,     0.000,   0.149247,   0.003002,   0.011945,   0.014947,   0.000000,   0.000000,   0.061375,  -0.000000,  -0.000000,   15.0000,   -0.0164
   -2.000,     0.000,   0.183314,   0.003881,   0.011546,   0.015427,   0.000000,   0.000000,   0.058587,  -0.000000,  -0.000000,   15.0000,    0.0217
   -1.500,     0.000,   0.217356,   0.004953,   0.011245,   0.016197,   0.000000,   0.000000,   0.055776,  -0.000000,  -0.000000,   15.0000,    0.0479
   -1.000,     0.000,   0.251367,   0.006215,   0.010798,   0.017013,   0.000000,   0.000000,   0.052948,  -0.000000,  -0.000000,   15.0000,    0.0671
   -0.500,     0.000,   0.285338,   0.007669,   0.010335,   0.018004,   0.000000,   0.000000,   0.050100,  -0.000000,  -0.000000,   15.0000,    0.0816
    0.000,     0.000,   0.319262,   0.009313,   0.009992,   0.019305,   0.000000,   0.000000,   0.047230,  -0.000000,  -0.000000,   15.0000,    0.0931
    0.500,     0.000,   0.353131,   0.011146,   0.009862,   0.021008,   0.000000,   0.000000,   0.044340,  -0.000000,  -0.000000,   15.0000,    0.1024
    1.000,     0.000,   0.386938,   0.013168,   0.009798,   0.022966,   0.000000,  -0.000000,   0.041431,  -0.000000,  -0.000000,   15.0000,    0.1100
    1.500,     0.000,   0.420675,   0.015377,   0.009771,   0.025148,   0.000000,  -0.000000,   0.038507,  -0.000000,  -0.000000,   15.0000,    0.1165
    2.000,     0.000,   0.454336,   0.017771,   0.009766,   0.027538,   0.000000,  -0.000000,   0.035567,  -0.000000,  -0.000000,   15.0000,    0.1220
    2.500,     0.000,   0.487911,   0.020351,   0.009794,   0.030144,   0.000000,  -0.000000,   0.032613,  -0.000000,  -0.000000,   15.0000,    0.1267
    3.000,     0.000,   0.521394,   0.023113,   0.009853,   0.032966,   0.000000,  -0.000000,   0.029646,  -0.000000,  -0.000000,   15.0000,    0.1309
    3.500,     0.000,   0.554778,   0.026056,   0.009926,   0.035983,   0.000000,  -0.000000,   0.026667,  -0.000000,  -0.000000,   15.0000,    0.1346
    4.000,     0.000,   0.588056,   0.029179,   0.010012,   0.039191,   0.000000,  -0.000000,   0.023677,  -0.000000,  -0.000000,   15.0000,    0.1378
    4.500,     0.000,   0.621219,   0.032479,   0.010132,   0.042611,   0.000000,  -0.000000,   0.020677,  -0.000000,  -0.000000,   15.0000,    0.1408
    5.000,     0.000,   0.654261,   0.035955,   0.010284,   0.046238,   0.000000,  -0.000000,   0.017668,  -0.000000,  -0.000000,   15.0000,    0.1434
    5.500,     0.000,   0.687175,   0.039603,   0.010464,   0.050067,   0.000000,  -0.000000,   0.014651,  -0.000000,  -0.000000,   15.0000,    0.1458
    6.000,     0.000,   0.719953,   0.043422,   0.010677,   0.054099,   0.000000,  -0.000000,   0.011627,  -0.000000,  -0.000000,   15.0000,    0.1480
    6.500,     0.000,   0.752589,   0.047409,   0.010958,   0.058367,   0.000000,  -0.000000,   0.008596,  -0.000000,  -0.000000,   15.0000,    0.1501
    7.000,     0.000,   0.785076,   0.051561,   0.011269,   0.062831,   0.000000,  -0.000000,   0.005561,  -0.000000,  -0.000000,   15.0000,    0.1520
    7.500,     0.000,   0.817406,   0.055877,   0.011597,   0.067474,   0.000000,  -0.000000,   0.002522,  -0.000000,  -0.000000,   15.0000,    0.1537
    8.000,     0.000,   0.849574,   0.060351,   0.011935,   0.072287,   0.000000,  -0.000000,  -0.000519,  -0.000000,  -0.000000,   15.0000,    0.1554
    8.500,     0.000,   0.881571,   0.064983,   0.012256,   0.077239,   0.000000,  -0.000000,  -0.003563,  -0.000000,  -0.000000,   15.0000,    0.1569
    9.000,     0.000,   0.913393,   0.069768,   0.012572,   0.082340,   0.000000,  -0.000000,  -0.006607,  -0.000000,  -0.000000,   15.0000,    0.1583
    9.500,     0.000,   0.945031,   0.074703,   0.012885,   0.087589,   0.000000,  -0.000000,  -0.009650,  -0.000000,  -0.000000,   15.0000,    0.1597
   10.000,     0.000,   0.976480,   0.079786,   0.013195,   0.092981,   0.000000,  -0.000000,  -0.012693,  -0.000000,  -0.000000,   15.0000,    0.1610
   10.500,     0.000,   1.007734,   0.085011,   0.013527,   0.098538,   0.000000,  -0.000000,  -0.015734,  -0.000000,  -0.000000,   15.0000,    0.1623
